CustomerID,Recency,Frequency,Monetary,Cluster,Segment
14081.0,31,1,423.52,0,Loyal High Spender
14083.0,93,1,309.54,1,At Risk
14135.0,121,1,485.25,1,At Risk
14142.0,151,1,311.81,1,At Risk
14156.0,93,1,322.2,1,At Risk
14161.0,31,1,283.15,0,Loyal High Spender
14180.0,120,1,201.75,1,At Risk
14189.0,1,1,311.24,0,Loyal High Spender
14210.0,92,1,304.95000000000005,1,At Risk
14236.0,120,1,189.3,1,At Risk
14237.0,151,1,161.0,1,At Risk
14293.0,1,1,364.92,0,Loyal High Spender
14307.0,152,1,783.11,1,At Risk
14344.0,1,1,322.8,0,Loyal High Spender
14388.0,121,1,312.8,1,At Risk
14390.0,121,1,223.7,1,At Risk
14395.0,120,1,308.68,1,At Risk
14396.0,92,1,110.35,1,At Risk
14404.0,31,1,133.48,0,Loyal High Spender
14443.0,1,1,303.5,0,Loyal High Spender
14449.0,120,1,210.24,1,At Risk
14466.0,120,1,379.75,1,At Risk
14491.0,121,1,127.2,1,At Risk
14496.0,151,1,304.34000000000003,1,At Risk
14506.0,31,1,269.7,0,Loyal High Spender
14527.0,31,1,292.95,0,Loyal High Spender
14573.0,120,1,413.1,1,At Risk
14576.0,120,1,35.400000000000006,1,At Risk
14589.0,93,1,39.75,1,At Risk
14594.0,151,1,255.0,1,At Risk
14606.0,31,2,391.0,0,Loyal High Spender
14680.0,93,1,1680.88,1,At Risk
14688.0,152,1,444.98,1,At Risk
14696.0,151,1,294.62,1,At Risk
14708.0,1,1,419.06,0,Loyal High Spender
14723.0,92,2,250.94,1,At Risk
14729.0,151,1,313.49,1,At Risk
14741.0,121,1,184.5,1,At Risk
14748.0,1,2,470.42,0,Loyal High Spender
14775.0,120,1,406.56,1,At Risk
14800.0,32,1,555.84,0,Loyal High Spender
14810.0,32,1,180.44,0,Loyal High Spender
14813.0,32,2,155.43,0,Loyal High Spender
14825.0,1,1,184.1,0,Loyal High Spender
14829.0,120,1,236.97,1,At Risk
14849.0,152,3,355.84000000000003,1,At Risk
14865.0,120,1,37.2,1,At Risk
14898.0,92,1,98.5,1,At Risk
14901.0,121,1,204.15,1,At Risk
14911.0,92,4,2283.53,1,At Risk
15012.0,151,1,191.06,1,At Risk
15023.0,31,1,460.6,0,Loyal High Spender
15038.0,32,1,126.43,0,Loyal High Spender
15039.0,1,1,611.51,0,Loyal High Spender
15048.0,1,1,98.7,0,Loyal High Spender
15061.0,120,6,9407.34,2,Low Value
15070.0,121,1,106.2,1,At Risk
15093.0,120,1,623.73,1,At Risk
15100.0,152,1,350.4,1,At Risk
15107.0,120,1,116.0,1,At Risk
15111.0,121,1,288.5,1,At Risk
15165.0,151,1,487.75,1,At Risk
15235.0,31,2,165.05,0,Loyal High Spender
15260.0,121,2,420.5,1,At Risk
15291.0,152,1,328.8,1,At Risk
15299.0,120,3,1835.01,1,At Risk
15301.0,1,1,673.37,0,Loyal High Spender
15304.0,1,1,123.15,0,Loyal High Spender
15311.0,31,2,1100.62,0,Loyal High Spender
15332.0,32,3,1598.06,0,Loyal High Spender
15350.0,151,1,115.65,1,At Risk
15351.0,32,1,274.67,0,Loyal High Spender
15363.0,121,1,326.0,1,At Risk
15373.0,92,1,334.3,1,At Risk
15426.0,31,1,411.42,0,Loyal High Spender
15465.0,32,1,535.75,0,Loyal High Spender
15485.0,151,1,950.09,1,At Risk
15502.0,31,2,736.7,0,Loyal High Spender
15513.0,152,1,357.0,1,At Risk
15525.0,151,1,313.93,1,At Risk
15544.0,120,1,354.54,1,At Risk
15545.0,92,1,135.32999999999998,1,At Risk
15555.0,31,1,198.43,0,Loyal High Spender
15570.0,31,1,517.65,0,Loyal High Spender
15574.0,120,1,375.65,1,At Risk
15601.0,121,1,768.38,1,At Risk
15605.0,151,1,194.85,1,At Risk
15640.0,120,1,333.72,1,At Risk
15646.0,120,1,189.8,1,At Risk
15658.0,121,1,306.2,1,At Risk
15694.0,121,1,306.4,1,At Risk
15708.0,32,1,350.68,0,Loyal High Spender
15716.0,32,1,547.1,0,Loyal High Spender
15732.0,120,1,138.1,1,At Risk
15738.0,120,1,329.65000000000003,1,At Risk
15752.0,121,1,259.65000000000003,1,At Risk
15769.0,92,1,91.8,1,At Risk
15808.0,31,1,1021.45,0,Loyal High Spender
15823.0,120,1,15.0,1,At Risk
15827.0,120,2,190.93,1,At Risk
15860.0,1,1,102.66,0,Loyal High Spender
15862.0,152,1,354.23,1,At Risk
15867.0,31,1,112.9,0,Loyal High Spender
15880.0,31,1,343.28000000000003,0,Loyal High Spender
15889.0,31,1,297.92,0,Loyal High Spender
15894.0,31,1,156.74,0,Loyal High Spender
15898.0,1,1,382.69,0,Loyal High Spender
15899.0,1,1,56.25,0,Loyal High Spender
15919.0,1,1,270.72,0,Loyal High Spender
15922.0,151,1,369.5,1,At Risk
15923.0,121,1,127.08,1,At Risk
15953.0,31,1,209.84,0,Loyal High Spender
15955.0,121,1,572.38,1,At Risk
15983.0,152,1,440.89,1,At Risk
15987.0,1,1,113.48,0,Loyal High Spender
16013.0,92,2,1062.0,1,At Risk
16029.0,120,3,4271.52,2,Low Value
16033.0,32,1,155.64,0,Loyal High Spender
16048.0,151,2,256.44,1,At Risk
16098.0,152,1,430.6,1,At Risk
16140.0,92,1,124.14,1,At Risk
16143.0,31,1,355.75,0,Loyal High Spender
16150.0,120,1,393.42,1,At Risk
16161.0,1,1,164.2,0,Loyal High Spender
16168.0,32,1,275.8,0,Loyal High Spender
16186.0,120,1,307.68,1,At Risk
16203.0,120,1,170.7,1,At Risk
16210.0,1,2,4738.54,2,Low Value
16218.0,152,1,471.3,1,At Risk
16241.0,32,1,277.65000000000003,0,Loyal High Spender
16244.0,121,1,1056.63,1,At Risk
16250.0,152,1,226.14,1,At Risk
16274.0,151,1,357.95,1,At Risk
16327.0,31,1,535.6,0,Loyal High Spender
16353.0,32,1,204.0,0,Loyal High Spender
16393.0,31,1,184.8,0,Loyal High Spender
16402.0,31,1,211.8,0,Loyal High Spender
16411.0,31,1,131.5,0,Loyal High Spender
16422.0,31,1,1668.2,0,Loyal High Spender
16455.0,92,2,381.3,1,At Risk
16456.0,151,1,787.4,1,At Risk
16477.0,92,1,225.65,1,At Risk
16510.0,120,1,248.1,1,At Risk
16539.0,151,1,442.35,1,At Risk
16546.0,121,1,299.40000000000003,1,At Risk
16552.0,151,1,95.29,1,At Risk
16583.0,152,1,233.45,1,At Risk
16634.0,120,1,164.8,1,At Risk
16638.0,1,1,50.400000000000006,0,Loyal High Spender
16718.0,31,1,623.75,0,Loyal High Spender
16719.0,1,1,430.73,0,Loyal High Spender
16725.0,92,1,122.15,1,At Risk
16752.0,121,1,207.5,1,At Risk
16754.0,120,1,2002.4,1,At Risk
16770.0,120,1,130.8,1,At Risk
16781.0,120,1,311.25,1,At Risk
16814.0,32,1,273.29,0,Loyal High Spender
16835.0,151,1,81.75,1,At Risk
16839.0,32,1,552.24,0,Loyal High Spender
16858.0,1,1,375.69000000000005,0,Loyal High Spender
16883.0,93,1,128.03,1,At Risk
16891.0,93,1,232.26,1,At Risk
16898.0,1,1,116.08,0,Loyal High Spender
16905.0,93,1,254.4,1,At Risk
16916.0,120,1,198.08,1,At Risk
16926.0,92,1,230.25,1,At Risk
16928.0,151,1,116.25,1,At Risk
16931.0,32,1,152.05,0,Loyal High Spender
16955.0,1,2,189.1,0,Loyal High Spender
16983.0,32,1,163.49,0,Loyal High Spender
17017.0,121,2,877.3199999999999,1,At Risk
17025.0,151,2,160.97,1,At Risk
17026.0,31,1,33.15,0,Loyal High Spender
17059.0,31,1,722.36,0,Loyal High Spender
17062.0,32,1,179.64,0,Loyal High Spender
17069.0,151,1,277.05,1,At Risk
17135.0,93,1,215.58,1,At Risk
17181.0,151,1,155.52,1,At Risk
17198.0,92,1,272.01,1,At Risk
17211.0,31,1,273.3,0,Loyal High Spender
17227.0,1,1,142.25,0,Loyal High Spender
17228.0,120,1,183.3,1,At Risk
17235.0,120,1,341.9,1,At Risk
17238.0,92,2,370.09,1,At Risk
17243.0,32,1,256.90000000000003,0,Loyal High Spender
17287.0,121,1,113.92,1,At Risk
17346.0,151,1,146.61,1,At Risk
17377.0,151,1,223.9,1,At Risk
17381.0,1,3,3603.72,2,Low Value
17396.0,93,1,397.5,1,At Risk
17402.0,31,2,459.97,0,Loyal High Spender
17412.0,120,1,197.3,1,At Risk
17420.0,152,1,130.85,1,At Risk
17428.0,1,1,353.0,0,Loyal High Spender
17460.0,120,2,70.30000000000001,1,At Risk
17511.0,152,1,1825.74,1,At Risk
17552.0,120,2,298.52,1,At Risk
17567.0,120,1,517.95,1,At Risk
17572.0,151,1,70.80000000000001,1,At Risk
17581.0,120,2,786.78,1,At Risk
17596.0,1,1,101.33,0,Loyal High Spender
17643.0,151,1,101.55,1,At Risk
17659.0,120,1,247.8,1,At Risk
17674.0,1,1,300.66,0,Loyal High Spender
17677.0,1,3,965.0,0,Loyal High Spender
17685.0,120,1,452.52,1,At Risk
17690.0,151,2,376.8,1,At Risk
17691.0,1,1,142.5,0,Loyal High Spender
17732.0,121,1,303.97,1,At Risk
17757.0,120,1,143.45000000000002,1,At Risk
17760.0,151,1,172.54,1,At Risk
17787.0,92,1,736.28,1,At Risk
17796.0,32,1,114.65,0,Loyal High Spender
17802.0,120,1,100.2,1,At Risk
17809.0,92,3,1251.5,1,At Risk
17819.0,92,1,591.47,1,At Risk
17838.0,120,1,717.1600000000001,1,At Risk
17841.0,92,2,876.92,1,At Risk
17850.0,120,34,5391.21,3,Potential Loyalist
17855.0,121,1,208.97,1,At Risk
17858.0,31,1,251.25,0,Loyal High Spender
17863.0,31,1,384.72,0,Loyal High Spender
17873.0,151,1,215.15,1,At Risk
17884.0,93,1,187.51,1,At Risk
17897.0,152,1,165.89,1,At Risk
17905.0,151,1,201.75,1,At Risk
17908.0,152,1,243.28,1,At Risk
17920.0,152,1,514.41,1,At Risk
17924.0,152,1,279.0,1,At Risk
17925.0,121,1,244.08,1,At Risk
17949.0,92,1,1314.0,1,At Risk
17951.0,151,1,295.5,1,At Risk
17954.0,92,1,108.78,1,At Risk
17961.0,120,1,127.55,1,At Risk
17964.0,120,1,261.76,1,At Risk
17965.0,31,1,37.35,0,Loyal High Spender
17967.0,93,1,123.07,1,At Risk
17968.0,152,1,277.35,1,At Risk
17976.0,120,1,353.19,1,At Risk
18011.0,151,1,102.79,1,At Risk
18041.0,121,2,428.94,1,At Risk
18055.0,32,1,431.45,0,Loyal High Spender
18074.0,152,1,489.6,1,At Risk
18085.0,152,1,303.9,1,At Risk
18109.0,32,1,277.45,0,Loyal High Spender
18113.0,1,1,76.32000000000001,0,Loyal High Spender
18118.0,32,1,475.86,0,Loyal High Spender
18144.0,151,1,165.04999999999998,1,At Risk
18156.0,32,1,206.23,0,Loyal High Spender
18168.0,120,1,263.3,1,At Risk
18219.0,1,1,210.19,0,Loyal High Spender
18229.0,151,1,344.2,1,At Risk
18239.0,120,1,438.1,1,At Risk
